CSEStotal,NEP,Identity,Age,CCpercent,LibCon
NA,NA,,How old are you?,How much do you think humans contribute to / cause climate change (as a percentage)? - Percent of climate change caused by humans.,Here is a scale on which people's political views are arranged from extremely liberal to extremely conservative. Where would you place yourself on this scale?
NA,NA,,"{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID20""}"
NA,NA,Millennial,,,
NA,NA,Conservative,,,
NA,NA,Conservative,,,
NA,NA,"Generation X (""Gen-X"")",,,
4,4,Millennial,24,33,3
4.25,4.545454545,Conservative,42,56,7
4.25,4.090909091,Liberal,29,54,0
2.75,2.818181818,Millennial,31,36,1
4.625,4.727272727,Conservative,58,72,10
3.625,6.454545455,Millennial,29,100,0
3.875,3.818181818,"Generation X (""Gen-X"")",49,83,0
6.625,5.272727273,Conservative,40,18,8
4.5,4.909090909,Conservative,41,80,10
3.25,3.636363636,Conservative,26,2,5
5.125,6.454545455,Liberal,34,95,0
4,3.818181818,Liberal,25,65,2
6.75,6.181818182,"Generation X (""Gen-X"")",49,60,0
4.75,4.909090909,Millennial,40,80,0
4,NA,Liberal,39,87,5
4.5,4.090909091,Millennial,41,48,8
4.375,4.363636364,Millennial,34,45,8
3.25,5.272727273,Millennial,26,100,5
7,5.909090909,Millennial,39,94,2
5.375,4.727272727,Liberal,31,83,3
3.75,4.272727273,"Generation X (""Gen-X"")",51,80,1
6.25,1.636363636,Conservative,44,19,10
7,6.363636364,Liberal,42,100,0
1.5,6.272727273,Millennial,36,92,9
6.375,2.181818182,Conservative,41,0,8
6.875,4.090909091,Conservative,34,100,8
5,4.909090909,Liberal,42,30,4
4.625,7,Conservative,49,100,8
3.125,3.727272727,Millennial,36,42,6
7,4.272727273,Millennial,36,78,1
3.75,5.363636364,Millennial,36,90,0
7,6.181818182,Liberal,31,95,5
5.25,4.636363636,Conservative,51,75,6
4.25,5.454545455,Liberal,35,85,2
5.375,5.727272727,Liberal,31,100,1
6.125,4.090909091,"Generation X (""Gen-X"")",47,72,5
6.125,3.636363636,Liberal,35,85,2
4.25,4.454545455,Millennial,27,39,2
4.25,4.272727273,Liberal,33,100,2
7,6.454545455,Millennial,33,100,4
6.375,3.636363636,Millennial,28,65,4
7,5.909090909,Liberal,35,91,0
5.75,4.727272727,Liberal,45,91,0
3.875,4.727272727,Millennial,30,80,2
6.875,4.818181818,"Generation X (""Gen-X"")",49,100,7
4.125,4.636363636,Liberal,30,78,5
4,4.272727273,Conservative,40,40,6
4.375,3.272727273,"Generation X (""Gen-X"")",45,75,6
5.375,4.181818182,"Generation X (""Gen-X"")",48,8,4
4.75,4.090909091,Conservative,39,34,6
4.625,4.181818182,"Generation X (""Gen-X"")",53,87,0
4.5,5.090909091,Liberal,43,80,2
5.375,4.272727273,Millennial,38,85,4
6.25,6.181818182,"Generation X (""Gen-X"")",56,80,5
5.375,4.090909091,Liberal,25,60,0
5.5,5.181818182,Liberal,25,70,2
3.5,4.272727273,Liberal,31,83,8
5.125,5.272727273,"Generation X (""Gen-X"")",46,70,1
4.375,4.090909091,Baby Boomer,35,59,7
3.875,4.454545455,Millennial,34,64,2
5.875,4.909090909,"Generation X (""Gen-X"")",54,25,5
6.25,4.454545455,Baby Boomer,65,100,0
3.875,5.727272727,Millennial,26,88,5
4,5,Liberal,50,92,3
3.5,6.454545455,"Generation X (""Gen-X"")",43,100,0
5.375,6.454545455,Liberal,46,90,2
3.375,6.454545455,Liberal,25,96,0
4.125,5.545454545,Millennial,30,90,0
4.375,6.454545455,"Generation X (""Gen-X"")",52,99,2
4.625,NA,Conservative,43,72,6
2.5,2.454545455,Conservative,42,5,5
4,5.636363636,Conservative,43,70,7
3.625,3.909090909,"Generation X (""Gen-X"")",53,15,5
3.375,4.727272727,Liberal,32,80,4
3.875,5.181818182,"Generation X (""Gen-X"")",40,95,1
4.375,3.545454545,Millennial,24,27,7
4.5,4.181818182,Conservative,49,33,6
3.25,3.909090909,Millennial,41,94,1
4.75,5,Millennial,28,70,4
6.125,2.818181818,Millennial,39,24,6
3,5.454545455,"Generation Z (""Gen-Z"")",24,100,0
3.875,5.090909091,Millennial,33,76,1
5,3.636363636,Millennial,37,20,7
4.25,4.090909091,Liberal,43,19,4
5.625,4,Liberal,50,92,0
6,5.909090909,Liberal,66,81,2
3.875,4.636363636,Conservative,42,80,5
4.25,5,Conservative,54,80,7
6,5.181818182,Liberal,58,70,2
5.125,5,Liberal,27,95,2
5.125,4.636363636,Millennial,35,7,0
5.75,4.818181818,"Generation X (""Gen-X"")",50,40,5
6,4.545454545,"Generation X (""Gen-X"")",47,48,9
6.375,3.636363636,Conservative,34,32,9
6,5.363636364,Liberal,46,70,4
5.5,4.454545455,Baby Boomer,69,30,8
3.625,3.636363636,Conservative,37,71,6
4.125,2.545454545,"Generation X (""Gen-X"")",46,60,9
4.125,4.727272727,Liberal,30,60,2
4.125,5,Millennial,29,84,3
4.5,6,Millennial,36,90,0
4.125,4.181818182,Millennial,26,89,1
4.25,2.909090909,Baby Boomer,61,30,10
3.75,6.181818182,"Generation X (""Gen-X"")",46,100,3
3.375,5.090909091,"Generation X (""Gen-X"")",53,99,0
4.875,5.909090909,Millennial,28,100,0
6.125,4.727272727,"Generation X (""Gen-X"")",55,31,5
7,4.545454545,Conservative,53,30,10
5.5,4.636363636,"Generation Z (""Gen-Z"")",24,81,2
5.875,6.363636364,Liberal,36,80,1
3.75,6.181818182,Liberal,58,100,0
3,4.363636364,Millennial,29,45,9
4.875,5.818181818,"Generation X (""Gen-X"")",44,95,1
5.5,4.636363636,Conservative,29,41,10
1.75,6.363636364,Millennial,38,71,3
4.25,4.454545455,Liberal,31,30,1
3.875,5.363636364,Baby Boomer,62,60,5
5.75,4.909090909,Millennial,31,55,6
6.25,5.545454545,Baby Boomer,67,90,2
3.375,3.818181818,Millennial,31,81,5
3.625,3.363636364,Millennial,29,20,5
5.375,4.363636364,Conservative,37,14,8
5.5,4.272727273,Millennial,29,59,2
7,6.454545455,Baby Boomer,59,90,2
4.5,6.363636364,"Generation X (""Gen-X"")",56,90,5
1.75,3.272727273,Millennial,32,65,6
3,3.818181818,Millennial,39,30,4
5,4.272727273,Liberal,35,88,2
4,3.727272727,"Generation Z (""Gen-Z"")",29,91,7
6,4.545454545,"Generation X (""Gen-X"")",51,75,7
6.625,4.454545455,Conservative,61,5,8
4,4.181818182,Liberal,27,42,3
3.875,6.272727273,Millennial,27,95,0
5.5,6.272727273,Millennial,31,90,2
3,4.909090909,Millennial,35,75,7
4.75,2.363636364,Liberal,41,85,3
3.125,6.454545455,"Generation Z (""Gen-Z"")",20,81,1
5.875,3.272727273,Conservative,53,2,10
5.125,5.363636364,Liberal,52,89,1
5.5,2.545454545,Conservative,30,60,6
4,5,Millennial,26,90,3
4.75,4.818181818,Conservative,55,64,4
2.875,5.090909091,Conservative,51,50,5
5.5,6.454545455,Liberal,41,100,0
7,6.181818182,Conservative,69,82,9
