Finished,Duration,RecordedDate,MTurk,Generation,Politics,WritTask1,WritTask2,CSES1,CSES2,CSES3,CSES4,CSES5,CSES6,CSES7,CSES8,SC1,SC2,SC4,SC3,SC5,SC7,SC8,SC10,SC11,NEP1,NEP11,NEP2,NEP4,NEP8,NEP10,NEP12,NEP3,NEP5,NEP9,NEP15,MWB1,MWB2,MWB4,MWB6,charity_DVNF,charity_ACLU,charity_WWF,charity_BGCA,charity_AFA,CCpercent,recall1,recall2,recall3,recall4,recall5,recall6,intent1,intent2,intent3,intent4,intent5,intent6,environmentalism,Age,Gender,Race,Education,SexualOrientation,Politics,Serious,Feedback,Identity,SC_order,NEP_order,MWB_order
TRUE,272,2/24/22 6:58,A1CQOQ2R1M71X5,,Conservative,Being conservative does not impact my decisions. I choose to do what I do without political influence.,Being conservative does not impact my relationships. I choose to do what I do without political influence.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,0,0,65,0,35,60,Most of the time,Most of the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Environmentalism is necessary to help the planet. We should be concerned and unify to act. Environmentalism needs to get its message to as many people as possible.,24,Male,White,Bachelor's Degree,Heterosexual,5,Yes,,a conservative,3,1,2
TRUE,258,2/24/22 6:59,AD1ILDUXZHASF,,Conservative,I'm strict about my work ethic and work very hard. I do NOT help out homeless people or other lazy pieces of shit,I'm cool with people who are hard workers like me. I have no respect for people who are not willing to work,Strongly disagree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,0,0,0,100,0,50,No answer,No answer,No answer,No answer,No answer,No answer,Always,Always,Always,Always,Always,Always,"I usually do my best. I conserve energy, I don't own a car, I recycle when I can, I walk everywhere, I conserve just about everything. If other people want to , that's fine, if not, that's on them.",34,Male,White,Associate's Degree,Heterosexual,7,Yes,"I don't like government at all, but I was brought up... you don't work, you don't eat. So I work, constantly.",a conservative,1,3,2
TRUE,366,2/24/22 7:01,A24Z9RP5YZZ2TY,Millennial,,I am not really sure how it impacts the decisions I make. As far as I can tell it does not really impact them at all.,"I tend to make friends from people who are around my age, but I am not sure that really how much that has to do with being a millennial. Outside of that I do not know how it impacts my relationships.",Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,50,0,0,0,50,0,Never,Never,Always,Most of the time,Most of the time,Most of the time,Never,Never,Always,Most of the time,Most of the time,Most of the time,"In general I have mixed feelings about it. I feel it raises some great concerns and some other, awfully misguided ones. ",32,Male,White,Bachelor's Degree,Heterosexual,5,Yes,,a Millennial,3,2,1
TRUE,518,2/24/22 7:01,AJMBXR9T9XOUG,Millennial,,I would say that for me being a millennial impacts decisions based on all of the new technology that is available to me. I feel as if my generation has things right at their fingertips and that decisions can be made quickly. I also think that this can be dangerous and decisions can be impulsive as well.  ,"Being a millennial impacts my relationships as most of them seem distant. I blame this on technology and the ideas and implementation of social media. I feel as if people are not physically in the lives of others anymore, and are more concerned about class and status rather than friendship. ",Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,23,5,53,11,8,56,Most of the time,Most of the time,Most of the time,Occassionally,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Always,Most of the time,"I feel that environmentalism is a terrific subject that should be taken into major consideration. I feel strong about the environment and our need to protect it. However, I sometimes feel that the idea of the environment and protecting it has become radicalized and that it has become a leftist political blaming point. ",36,Male,White,Bachelor's Degree,Heterosexual,10,Yes,Thank you,a Millennial,2,3,1
TRUE,409,2/24/22 7:02,A34EHWOYRBL6OZ,,Conservative,It doesn't really effect my decisions I make decisions by what is best for me.,It doesn't because I refuse to talk politics with anyone,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,17,0,41,0,42,52,Most of the time,Occassionally,Never,Occassionally,Occassionally,Never,Most of the time,Occassionally,Never,Occassionally,Occassionally,Occassionally,I feel people need to stop doing stupid things that are killing are planet but they aren't going to so I don't see how we can change the situations we are in.,34,Female,White,High school completion,Heterosexual,8,Yes,none,a conservative,2,1,3
TRUE,553,2/24/22 7:03,A2VZGR99TJC2BZ,,Conservative,I choose to do things that I believe are morally right. I choose to do the right things in my daily life that are just and good. ,I choose to be with a woman that is righteous and upholds morally right beliefs. I don't want to date someone who is different in beliefs and standards.,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly disagree,Somewhat agree,32,5,9,28,26,69,Occassionally,Never,Most of the time,Most of the time,Never,Occassionally,Occassionally,Never,Occassionally,Most of the time,Never,Occassionally,It's great that people care for the environment it's a noble thing to do. If I was more educated on the issue I would probably make more changes to lessen my impact on the envirnoment,27,Male,Black/African-American,Some college (no degree),Heterosexual,7,Yes,no,a conservative,2,1,3
TRUE,422,2/24/22 7:04,A1SJNPTF4T4R4U,Millennial,,I believe we have a strong decision making factor as mellennials. We were raised with technology that our parents did not have.,We are more informed with lifestyle and can make better choices on our relationships we carry,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Agree,Somewhat disagree,Strongly disagree,Agree,Somewhat disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,73,0,0,10,17,9,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I believe the environment goes through cycles. I think humans contribute very little to what will happen to the environment as a whole. It is all in God's hands and we as humans do not dictate over Him,38,Male,White,Bachelor's Degree,Heterosexual,10,Yes,,a Millennial,3,2,1
TRUE,521,2/24/22 7:04,A16E8BQLG16N3F,,Conservative,"I just think people should be able to make their own choices without the government telling us what to do. However, the should be lines drawn and consequences to your action and that is where the government plays a role. ","Sometimes you can not talk to someone who has a completely different opinion then you, especially when they are emotional. When both parties listens then there can be a great outcome to help grow with each other in a relationship. ",Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Disagree,20,20,20,20,20,10,Most of the time,Occassionally,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I feel like we should take care of our home/earth because once this planet is gone it is very unlikely we will find another. The extreme views will damage what good you want to accomplish especially if you want people to follow in your foot steps. ,28,Male,White,Bachelor's Degree,Heterosexual,7,Yes,no,a conservative,3,2,1
TRUE,353,2/24/22 7:05,ATKNH6OR2G11O,Millennial,,"As a Milennial, I am struggling financially. My daily spending choices are affected.",I tend to avoid the Baby Boomer generation. They are quite judgmental.,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,30,0,20,30,20,25,Always,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,I feel like environmentalism is nothing more than a political tool for leftist politicians and their supporters. I have no interest in getting involved.,34,Female,White,Bachelor's Degree,Heterosexual,10,Yes,,a Millennial,1,3,2
TRUE,563,2/24/22 7:05,ARON01UO1YK7I,,Conservative,IT DEFINITELY ALLOWS ME TO STAND BY MY MORALS AND BELIEFS WITH MORE VIGOR THAN MOST IN REGARDS TO INTERACTIONS WITH THOSE OF  A MORE LIBERAL MINDSET. IT ALSO CONSTANTLY REMINDS ME TO DO THE RIGHT THING BY THOSE BELIEFS AND MORALS WHEN MAKING DECISIONS,IT ALLOWS ME TO BE MORE HONEST AND STEADFAST WITH OTHERS BECAUSE I AM CONSTANTLY REMINDED OF THE FIRMNESS OF MY BELIEF SYSTEM AND THE CLEAR MORALITY BEHIND IT.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,80,0,0,20,0,72,Always,Most of the time,Most of the time,Most of the time,Always,Occassionally,Always,Occassionally,Occassionally,Most of the time,Most of the time,Occassionally,I THINK ENVIRONMENTALISM IS  WONDERFUL IDEAL IN WHICH PEOPLE PROTECT THE PLANET THEY WERE BORN ON AFTER CAUSING IT IRREPARABLE HARM. WHILE THE ACTIONS OF THE HUMAN RACE HAVE CAUSED HARM TO THE PLANET MOST PEOPLE TEND TO TAKE IT TO A MANIC EXTREME,28,Female,White,Some college (no degree),Bisexual,8,Yes,,a conservative,1,2,3
